"Column1","Column2","Column3"
"2003","01","0.0"
"2003","01","0.0"
"2003","01","0.0"
"2003","02","0.0"
"2003","02","0.0"
"2003","02","0.0"
"2003","03","0.0"
"2003","03","0.0"
"2003","03","0.0"
"2003","04","0.03048"
"2003","04","0.03048"
"2003","04","0.03048"
"2003","05","0.12192"
"2003","05","0.12192"
"2003","05","0.12192"
"2003","06","0.15240000000000001"
"2003","06","0.15240000000000001"
"2003","06","0.15240000000000001"
"2003","07","0.18287999999999999"
"2003","07","0.18287999999999999"
"2003","07","0.18287999999999999"
"2003","08","0.15240000000000001"
"2003","08","0.15240000000000001"
"2003","08","0.15240000000000001"
"2003","09","0.091439999999999994"
"2003","09","0.091439999999999994"
"2003","09","0.091439999999999994"
"2003","10","0.091439999999999994"
"2003","10","0.091439999999999994"
"2003","10","0.091439999999999994"
"2003","11","0.0"
"2003","11","0.0"
"2003","11","0.0"
"2003","12","0.0"
"2003","12","0.0"
"2003","12","0.0"
"2004","01","0.0"
"2004","01","0.0"
"2004","01","0.0"
"2004","02","0.0"
"2004","02","0.0"
"2004","02","0.0"
"2004","03","0.0"
"2004","03","0.0"
"2004","03","0.0"
"2004","04","0.03048"
"2004","04","0.03048"
"2004","04","0.03048"
"2004","05","0.12192"
"2004","05","0.12192"
"2004","05","0.12192"
"2004","06","0.15240000000000001"
"2004","06","0.15240000000000001"
"2004","06","0.15240000000000001"
"2004","07","0.18287999999999999"
"2004","07","0.18287999999999999"
"2004","07","0.18287999999999999"
"2004","08","0.15240000000000001"
"2004","08","0.15240000000000001"
"2004","08","0.15240000000000001"
"2004","09","0.091439999999999994"
"2004","09","0.091439999999999994"
"2004","09","0.091439999999999994"
"2004","10","0.091439999999999994"
"2004","10","0.091439999999999994"
"2004","10","0.091439999999999994"
"2004","11","0.0"
"2004","11","0.0"
"2004","11","0.0"
"2004","12","0.0"
"2004","12","0.0"
"2004","12","0.0"
"2005","01","0.0"
"2005","01","0.0"
"2005","01","0.0"
"2005","02","0.0"
"2005","02","0.0"
"2005","02","0.0"
"2005","03","0.0"
"2005","03","0.0"
"2005","03","0.0"
"2005","04","0.03048"
"2005","04","0.03048"
"2005","04","0.03048"
"2005","05","0.12192"
"2005","05","0.12192"
"2005","05","0.12192"
"2005","06","0.15240000000000001"
"2005","06","0.15240000000000001"
"2005","06","0.15240000000000001"
"2005","07","0.18287999999999999"
"2005","07","0.18287999999999999"
"2005","07","0.18287999999999999"
"2005","08","0.15240000000000001"
"2005","08","0.15240000000000001"
"2005","08","0.15240000000000001"
"2005","09","0.091439999999999994"
"2005","09","0.091439999999999994"
"2005","09","0.091439999999999994"
"2005","10","0.091439999999999994"
"2005","10","0.091439999999999994"
"2005","10","0.091439999999999994"
"2005","11","0.0"
"2005","11","0.0"
"2005","11","0.0"
"2005","12","0.0"
"2005","12","0.0"
"2005","12","0.0"
"2006","01","0.0"
"2006","01","0.0"
"2006","01","0.0"
"2006","02","0.0"
"2006","02","0.0"
"2006","02","0.0"
"2006","03","0.0"
"2006","03","0.0"
"2006","03","0.0"
"2006","04","0.03048"
"2006","04","0.03048"
"2006","04","0.03048"
"2006","05","0.12192"
"2006","05","0.12192"
"2006","05","0.12192"
"2006","06","0.15240000000000001"
"2006","06","0.15240000000000001"
"2006","06","0.15240000000000001"
"2006","07","0.18287999999999999"
"2006","07","0.18287999999999999"
"2006","07","0.18287999999999999"
"2006","08","0.15240000000000001"
"2006","08","0.15240000000000001"
"2006","08","0.15240000000000001"
"2006","09","0.091439999999999994"
"2006","09","0.091439999999999994"
"2006","09","0.091439999999999994"
"2006","10","0.091439999999999994"
"2006","10","0.091439999999999994"
"2006","10","0.091439999999999994"
"2006","11","0.0"
"2006","11","0.0"
"2006","11","0.0"
"2006","12","0.0"
"2006","12","0.0"
"2006","12","0.0"
"2007","01","0.0"
"2007","01","0.0"
"2007","01","0.0"
"2007","02","0.0"
"2007","02","0.0"
"2007","02","0.0"
"2007","03","0.0"
"2007","03","0.0"
"2007","03","0.0"
"2007","04","0.03048"
"2007","04","0.03048"
"2007","04","0.03048"
"2007","05","0.12192"
"2007","05","0.12192"
"2007","05","0.12192"
"2007","06","0.15240000000000001"
"2007","06","0.15240000000000001"
"2007","06","0.15240000000000001"
"2007","07","0.18287999999999999"
"2007","07","0.18287999999999999"
"2007","07","0.18287999999999999"
"2007","08","0.15240000000000001"
"2007","08","0.15240000000000001"
"2007","08","0.15240000000000001"
"2007","09","0.091439999999999994"
"2007","09","0.091439999999999994"
"2007","09","0.091439999999999994"
"2007","10","0.091439999999999994"
"2007","10","0.091439999999999994"
"2007","10","0.091439999999999994"
"2007","11","0.0"
"2007","11","0.0"
"2007","11","0.0"
"2007","12","0.0"
"2007","12","0.0"
"2007","12","0.0"
"2008","01","0.0"
"2008","01","0.0"
"2008","01","0.0"
"2008","02","0.0"
"2008","02","0.0"
"2008","02","0.0"
"2008","03","0.0"
"2008","03","0.0"
"2008","03","0.0"
"2008","04","0.03048"
"2008","04","0.03048"
"2008","04","0.03048"
"2008","05","0.12192"
"2008","05","0.12192"
"2008","05","0.12192"
"2008","06","0.15240000000000001"
"2008","06","0.15240000000000001"
"2008","06","0.15240000000000001"
"2008","07","0.18287999999999999"
"2008","07","0.18287999999999999"
"2008","07","0.18287999999999999"
"2008","08","0.15240000000000001"
"2008","08","0.15240000000000001"
"2008","08","0.15240000000000001"
"2008","09","0.091439999999999994"
"2008","09","0.091439999999999994"
"2008","09","0.091439999999999994"
"2008","10","0.091439999999999994"
"2008","10","0.091439999999999994"
"2008","10","0.091439999999999994"
"2008","11","0.0"
"2008","11","0.0"
"2008","11","0.0"
"2008","12","0.0"
"2008","12","0.0"
"2008","12","0.0"
"2009","01","0.0"
"2009","01","0.0"
"2009","01","0.0"
"2009","02","0.0"
"2009","02","0.0"
"2009","02","0.0"
"2009","03","0.0"
"2009","03","0.0"
"2009","03","0.0"
"2009","04","0.03048"
"2009","04","0.03048"
"2009","04","0.03048"
"2009","05","0.12192"
"2009","05","0.12192"
"2009","05","0.12192"
"2009","06","0.15240000000000001"
"2009","06","0.15240000000000001"
"2009","06","0.15240000000000001"
"2009","07","0.18287999999999999"
"2009","07","0.18287999999999999"
"2009","07","0.18287999999999999"
"2009","08","0.15240000000000001"
"2009","08","0.15240000000000001"
"2009","08","0.15240000000000001"
"2009","09","0.091439999999999994"
"2009","09","0.091439999999999994"
"2009","09","0.091439999999999994"
"2009","10","0.091439999999999994"
"2009","10","0.091439999999999994"
"2009","10","0.091439999999999994"
"2009","11","0.0"
"2009","11","0.0"
"2009","11","0.0"
"2009","12","0.0"
"2009","12","0.0"
"2009","12","0.0"
"2010","01","0.0"
"2010","01","0.0"
"2010","01","0.0"
"2010","02","0.0"
"2010","02","0.0"
"2010","02","0.0"
"2010","03","0.0"
"2010","03","0.0"
"2010","03","0.0"
"2010","04","0.03048"
"2010","04","0.03048"
"2010","04","0.03048"
"2010","05","0.12192"
"2010","05","0.12192"
"2010","05","0.12192"
"2010","06","0.15240000000000001"
"2010","06","0.15240000000000001"
"2010","06","0.15240000000000001"
"2010","07","0.18287999999999999"
"2010","07","0.18287999999999999"
"2010","07","0.18287999999999999"
"2010","08","0.15240000000000001"
"2010","08","0.15240000000000001"
"2010","08","0.15240000000000001"
"2010","09","0.091439999999999994"
"2010","09","0.091439999999999994"
"2010","09","0.091439999999999994"
"2010","10","0.091439999999999994"
"2010","10","0.091439999999999994"
"2010","10","0.091439999999999994"
"2010","11","0.0"
"2010","11","0.0"
"2010","11","0.0"
"2010","12","0.0"
"2010","12","0.0"
"2010","12","0.0"
