"ObjectTypeCV","InstanceName","ScenarioName","AttributeName","SeasonName","SeasonNumericValue","SeasonOrder"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Oct"," 18","1"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Nov"," 0","2"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Dec"," 0","3"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Jan"," 0","4"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Feb"," 0","5"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Mar"," 0","6"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Apr"," 14","7"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","May"," 365","8"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Jun"," 1302","9"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Jul"," 1618","10"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Aug"," 737","11"
"Demand site","Reach 2 Irr","USU WEAP Model 2017","Monthly Demand_Se","Sep"," 188 ","12"
